アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
16,1.33,4.88,1.16,1.31,-0.2,-0.969,68,緑色瓶,一般酒
15.1,-0.974,4.42,1.38,0.892,-0.002,-1.21,69,茶色瓶,一般酒
15.5,3.68,5.34,1.09,1.25,0.002,-1.15,74,茶色瓶,一般酒
14,4.7,3.41,1.05,1.71,-0.067,-1.1,74,茶色瓶,一般酒
15.7,6.3,4.96,0.73,1.1,-0.039,-0.982,69,茶色瓶,一般酒
14.3,1.17,5.48,1.05,1.2,-0.107,-0.973,72,茶色瓶,一般酒
16.7,-0.154,3.66,1.32,1.49,-0.247,-0.809,12,リターナブル瓶,吟醸酒
15.7,8.36,5.52,1.2,0.862,-0.303,-0.75,57,その他色瓶,吟醸酒
16.9,4.89,4.03,1.48,1.21,-0.167,-0.722,48,緑色瓶,吟醸酒
15.4,1.69,4.67,1.04,1.23,-0.245,-0.78,48,緑色瓶,吟醸酒
14,4.54,4.4,1.16,1.46,-0.34,-0.786,33,その他色瓶,吟醸酒
16.4,4.09,4.65,1.26,1.57,-0.223,-0.662,46,緑色瓶,吟醸酒
17,4.29,4.45,0.852,1.51,-0.558,-0.73,40,緑色瓶,吟醸酒
16.9,3,5.06,1.37,1.22,-0.266,-0.726,37,茶色瓶,吟醸酒
15.6,2.49,5.65,1.49,1.26,-0.305,-0.718,14,緑色瓶,吟醸酒
16.1,7.27,5.08,1.04,0.775,-0.353,-0.798,18,茶色瓶,吟醸酒
15.7,4.87,3.83,1.47,1.63,-0.627,-0.806,-2.5,その他色瓶,吟醸酒
15.7,1.37,4.85,1.46,1.12,-0.195,-0.799,39,緑色瓶,吟醸酒
17.4,3,5.14,1.66,1.38,-0.134,-0.802,44,茶色瓶,吟醸酒
16.7,7.97,4.85,0.95,1.27,-0.391,-0.67,25,緑色瓶,吟醸酒
17,3.23,4.21,0.896,0.51,-0.394,-0.796,42,緑色瓶,吟醸酒
16.2,-1.54,5.32,1.65,1.73,-0.328,-0.806,44,その他色瓶,吟醸酒
15.6,3.58,4.21,1.78,0.956,-0.438,-0.624,54,その他色瓶,吟醸酒
15.8,0.964,4.28,0.967,1.08,-0.332,-0.714,56,緑色瓶,吟醸酒
15.7,2.81,3.76,1.23,1.33,-0.337,-0.712,32,その他色瓶,吟醸酒
15.5,7.08,5.36,1.31,1.21,-0.48,-0.77,38,緑色瓶,吟醸酒
16.4,5.03,4.34,1.49,1.35,-0.319,-0.748,29,緑色瓶,吟醸酒
15.4,4.59,5.2,1.3,1.39,-0.238,-0.832,28,茶色瓶,吟醸酒
14.8,-0.344,4.94,1.57,1.61,-0.214,-0.786,37,茶色瓶,吟醸酒
17,1.95,4.95,1.75,1.28,-0.423,-0.719,31,緑色瓶,吟醸酒
15.6,2.32,4.76,1.64,1.59,-0.177,-0.781,47,茶色瓶,吟醸酒
16.4,6.38,3.82,1.61,0.374,-0.294,-0.894,24,その他色瓶,吟醸酒
16,5.18,4.3,1.2,1.14,-0.242,-0.755,38,その他色瓶,吟醸酒
14.8,3.73,4.63,1.2,1.12,-0.23,-0.717,22,緑色瓶,吟醸酒
16.5,-0.702,4.37,1.08,0.617,-0.354,-0.778,34,緑色瓶,吟醸酒
17.6,1.5,3.7,1.32,1.12,-0.219,-0.709,18,茶色瓶,吟醸酒
15.5,1.97,3.9,1.34,1.4,-0.244,-0.76,45,緑色瓶,吟醸酒
15.3,3.71,4.6,1.14,1.27,-0.174,-0.733,35,緑色瓶,吟醸酒
17.3,4.77,4.41,1.52,1.6,-0.46,-0.74,50,緑色瓶,吟醸酒
14.9,8.76,5.02,1.44,0.916,-0.312,-0.81,39,緑色瓶,吟醸酒
15.2,6.95,3.14,1.29,1.01,-0.081,-0.758,9.6,緑色瓶,吟醸酒
16.3,2.22,4.83,1.34,1.35,-0.204,-0.878,21,緑色瓶,吟醸酒
16.8,3.36,3.98,0.971,0.926,-0.249,-0.609,29,緑色瓶,吟醸酒
16.9,-1.15,4.23,1.11,1.45,-0.353,-0.792,35,緑色瓶,吟醸酒
17,0.555,4.97,1.41,1.39,-0.395,-0.73,45,緑色瓶,吟醸酒
15.9,3.15,4.56,1.38,1.32,-0.363,-0.749,51,その他色瓶,吟醸酒
15.6,3.4,4.79,1.91,1.27,-0.273,-0.69,28,緑色瓶,吟醸酒
14.4,2.16,5.1,1.17,1.31,-0.332,-0.752,42,緑色瓶,吟醸酒
17.1,5.07,5.26,1.18,0.973,-0.136,-0.673,21,緑色瓶,吟醸酒
16.4,4.79,3.67,1.03,1.34,-0.17,-0.735,47,緑色瓶,吟醸酒
17,1.84,4.47,0.889,1.17,-0.351,-0.77,39,緑色瓶,吟醸酒
14.7,-2.63,4.75,1.35,1.04,-0.068,-0.879,34,茶色瓶,吟醸酒
15.2,1.84,4.71,1.56,1.2,-0.348,-0.683,44,緑色瓶,吟醸酒
15.7,3.08,4.48,1.16,1.1,-0.18,-0.789,35,緑色瓶,吟醸酒
16,12.8,5.31,1.2,1.18,-0.489,-0.69,29,その他色瓶,吟醸酒
16,0.703,4.63,1.21,1.37,-0.057,-0.698,29,緑色瓶,吟醸酒
16.7,4.25,4.19,1.01,0.846,-0.11,-0.783,29,緑色瓶,吟醸酒
16.1,4.57,6.04,1.38,1.28,-0.186,-0.595,31,緑色瓶,吟醸酒
15.5,7.02,4.8,1.42,1.29,-0.326,-0.703,43,緑色瓶,吟醸酒
16.3,3.39,5.02,1.23,0.893,-0.377,-0.819,39,その他色瓶,吟醸酒
15.1,6.93,4.75,0.967,1.16,-0.112,-0.654,2.2,茶色瓶,吟醸酒
15.3,8.29,4.43,1.72,1.32,-0.136,-0.714,15,緑色瓶,吟醸酒
16.6,1.49,5.51,0.92,1.36,-0.334,-0.787,33,緑色瓶,吟醸酒
17.9,2.51,4.83,0.991,1.36,-0.261,-0.894,22,緑色瓶,吟醸酒
16.8,2.76,4.52,1.14,0.972,-0.228,-0.732,35,緑色瓶,吟醸酒
16.2,0.584,4.92,1.33,1.06,-0.211,-0.776,50,その他,吟醸酒
15.7,7.09,4.9,1.26,0.736,0.026,-0.684,38,緑色瓶,吟醸酒
15.9,-0.521,5.15,1.13,1.39,-0.192,-0.769,12,緑色瓶,吟醸酒
15.1,1.33,5.48,1.31,1.01,-0.173,-0.686,36,緑色瓶,吟醸酒
15.3,8.07,4.19,1.13,1.12,-0.228,-0.722,37,茶色瓶,吟醸酒
16,2.65,4.13,1.77,0.847,-0.567,-0.711,40,茶色瓶,吟醸酒
17.1,-2.84,4.83,1.28,1.19,-0.055,-0.752,37,緑色瓶,吟醸酒
16.1,0.967,4.54,1.15,1.06,-0.252,-0.763,37,茶色瓶,吟醸酒
17.4,4.33,4.62,1.06,1.33,-0.249,-0.673,48,茶色瓶,吟醸酒
16,3.51,4.52,1.13,1.16,-0.578,-0.719,32,緑色瓶,吟醸酒
16.3,0.709,4.92,1.26,1.2,-0.383,-0.794,45,緑色瓶,吟醸酒
15,3.49,5.31,1.2,0.876,-0.243,-0.68,23,緑色瓶,吟醸酒
15.9,9.68,3.8,1.26,1.08,-0.006,-0.805,32,茶色瓶,吟醸酒
16.1,1.41,3.8,1.56,1.07,-0.261,-0.718,31,青色瓶,吟醸酒
15.7,6.65,4.7,1.01,1.71,-0.421,-0.778,47,茶色瓶,吟醸酒
16.1,3.27,4.78,1.24,1.29,-0.168,-0.707,33,茶色瓶,吟醸酒
15.5,2.96,5.55,1.07,1.27,-0.254,-0.71,45,緑色瓶,吟醸酒
16.3,2.21,4.58,1.19,1.2,-0.266,-0.658,60,緑色瓶,吟醸酒
16.1,7.28,5.43,1.21,0.956,-0.102,-0.728,23,緑色瓶,吟醸酒
15.6,4.08,5.08,1.36,1.01,-0.48,-0.605,37,その他色瓶,吟醸酒
15.1,3.96,3.91,1.06,1.57,-0.416,-0.663,35,緑色瓶,吟醸酒
16.3,3.77,4.04,1.34,1.5,-0.369,-0.86,23,その他色瓶,吟醸酒
15.9,4.12,4.74,1.52,1.12,-0.442,-0.606,21,茶色瓶,吟醸酒
16.6,5.3,4.62,1.16,1.7,-0.221,-0.758,30,リターナブル瓶,吟醸酒
14.9,0.9,4.91,1.56,1.09,-0.424,-0.837,29,緑色瓶,吟醸酒
16,4.44,4,1.16,1.2,-0.292,-0.783,13,茶色瓶,吟醸酒
15.7,4.86,5.13,1.54,0.887,-0.505,-0.738,27,緑色瓶,吟醸酒
16.6,1.28,5.1,1.39,1.39,-0.284,-0.781,35,青色瓶,吟醸酒
16.2,3.53,5.14,1.18,1.17,-0.41,-0.784,67,緑色瓶,吟醸酒
16.8,6.68,5.24,1.39,1.48,-0.235,-0.717,42,茶色瓶,吟醸酒
14.1,3.32,4.46,1.43,1.06,-0.375,-0.716,52,その他色瓶,吟醸酒
17,6.68,4.6,1.47,1.18,-0.251,-0.8,18,その他色瓶,吟醸酒
15.7,5.83,4.28,1.32,0.846,-0.514,-0.602,47,茶色瓶,吟醸酒
14.9,3.52,5.17,1.87,1.54,-0.425,-0.763,49,緑色瓶,吟醸酒
16.2,5.44,4.37,1.52,1.23,-0.134,-0.64,53,緑色瓶,吟醸酒
15.8,2.6,4.67,1.13,1.16,-0.179,-0.744,48,その他色瓶,吟醸酒
15.1,3.09,5.37,1.54,0.748,-0.183,-0.78,36,茶色瓶,吟醸酒
15.6,4.53,4.33,1.12,1.57,-0.196,-0.713,47,青色瓶,吟醸酒
16.2,-1.17,5.24,0.927,1.56,0.017,-0.813,51,緑色瓶,吟醸酒
15.9,3.68,4.29,1.27,1.55,-0.083,-0.636,24,茶色瓶,吟醸酒
15.6,8.53,4.71,1.36,1.75,-0.138,-0.699,46,緑色瓶,吟醸酒
16.2,3.81,4.91,1.44,1.17,-0.363,-0.62,6.7,茶色瓶,吟醸酒
14.8,2.15,3.76,1.47,0.872,-0.315,-0.667,13,緑色瓶,吟醸酒
14.6,3.76,4.38,1.09,1.32,-0.186,-0.596,46,緑色瓶,吟醸酒
16.6,5.44,5.83,0.777,1.19,-0.356,-0.721,24,緑色瓶,吟醸酒
15.6,5.24,4.72,1.26,1.22,-0.28,-0.789,35,その他色瓶,吟醸酒
14.6,2.29,4.64,1.28,0.866,-0.294,-0.784,38,茶色瓶,吟醸酒
16.2,2.71,4.4,1.38,1.1,-0.332,-0.707,32,その他色瓶,吟醸酒
15.3,8.31,4.8,1.01,1.72,-0.202,-0.809,22,緑色瓶,吟醸酒
15.6,8.02,4.18,0.768,0.909,-0.139,-0.768,19,緑色瓶,吟醸酒
14,2.42,4.88,0.979,1.49,-0.481,-0.844,29,緑色瓶,吟醸酒
15.5,2.3,4.21,1.34,1.24,-0.113,-0.705,21,緑色瓶,吟醸酒
16.2,1.26,4.81,1.01,1.57,-0.245,-0.76,45,緑色瓶,吟醸酒
15.6,1.29,5.01,1.54,1.46,-0.275,-0.803,21,その他色瓶,吟醸酒
16.9,2.99,3.99,1.42,0.964,-0.487,-0.673,42,緑色瓶,吟醸酒
16.3,1.98,4.29,0.976,1.2,-0.193,-0.721,54,茶色瓶,吟醸酒
14.5,4.23,4.76,1.53,1.66,-0.342,-0.719,65,茶色瓶,吟醸酒
15.8,5.3,5.19,1.54,1.26,-0.381,-0.778,26,茶色瓶,吟醸酒
15.5,6.14,5.73,1.47,1.1,-0.281,-0.751,38,その他色瓶,吟醸酒
15.9,2.35,4.71,1.38,1.19,-0.418,-0.651,25,緑色瓶,吟醸酒
16,2.41,3.82,1.32,1.15,-0.075,-0.757,40,その他色瓶,吟醸酒
15.5,2.17,4.73,0.877,1.24,-0.21,-0.603,32,緑色瓶,吟醸酒
16.3,5.44,5.53,1.34,1.33,-0.293,-0.728,43,緑色瓶,吟醸酒
15.2,5.52,3.96,1.13,0.934,-0.295,-0.667,31,その他色瓶,吟醸酒
15.8,8.16,5.2,1.48,1.04,-0.238,-0.697,32,緑色瓶,吟醸酒
17,3.96,4.82,1.41,1.46,-0.279,-0.719,60,緑色瓶,吟醸酒
16.2,3.93,4.17,1.54,1.41,-0.287,-0.737,49,緑色瓶,吟醸酒
16,-0.00952,4.15,1.22,1.24,-0.264,-0.786,39,茶色瓶,吟醸酒
17.4,2.93,4.74,1.03,1.09,-0.299,-0.681,33,緑色瓶,吟醸酒
15.3,3.89,4.23,1.79,1.27,-0.371,-0.768,46,その他色瓶,吟醸酒
17.2,3.54,5.02,1.36,1.51,-0.178,-0.74,20,その他色瓶,吟醸酒
16.5,4.04,3.92,1.4,1.6,-0.253,-0.801,43,緑色瓶,吟醸酒
15.3,3.85,5.33,1.38,1.64,-0.362,-0.681,43,緑色瓶,吟醸酒
16.8,2.39,4.36,1.15,0.745,-0.249,-0.778,36,茶色瓶,吟醸酒
17.1,3.15,6.52,1.07,1.31,-0.409,-0.797,57,茶色瓶,吟醸酒
17.8,1.07,4.78,1.31,1.27,-0.375,-0.741,37,その他色瓶,吟醸酒
16.1,5.48,4.89,1.75,0.804,-0.412,-0.699,28,緑色瓶,吟醸酒
16,1.08,3.77,1.72,1.24,-0.387,-0.437,77,その他色瓶,純米酒
16.5,4.2,4.4,1.65,1.21,-0.39,-0.384,80,茶色瓶,純米酒
15.2,7.62,3.64,1.78,1.64,-0.558,-0.396,77,茶色瓶,純米酒
14.6,9.09,3.69,1.79,1.12,-0.315,-0.451,80,緑色瓶,純米酒
16.3,5.82,3.75,1.45,1.06,-0.542,-0.459,73,緑色瓶,純米酒
16.4,3.62,4.08,1.43,1.48,-0.282,-0.352,74,茶色瓶,純米酒
15.3,1.08,4.21,1.74,1.78,-0.271,-0.557,85,茶色瓶,純米酒
14.4,2.75,2.84,1.71,2,-0.56,-0.485,82,茶色瓶,純米酒
15.6,5.29,3.43,1.44,2.08,-0.744,-0.341,78,緑色瓶,純米酒
14.6,6.92,5.31,1.51,1.83,-0.858,-0.375,75,緑色瓶,純米酒
14.9,8.12,3.77,1.02,1.7,-0.412,-0.568,78,茶色瓶,純米酒
16.2,5.22,4.86,1.22,2.15,-0.31,-0.377,72,茶色瓶,純米酒
14.6,0.376,4.62,1.24,1.11,-0.256,-0.38,72,茶色瓶,純米酒
15.7,6.43,4.22,1.54,1.23,-0.149,-0.462,79,緑色瓶,純米酒
15.2,7.84,4.8,2.04,0.958,-0.444,-0.52,67,緑色瓶,純米酒
14.8,2.4,4.67,1.34,1.63,-0.252,-0.389,72,緑色瓶,純米酒
15.4,3.33,5.33,1.28,1.56,-0.878,-0.358,82,茶色瓶,純米酒
15,3.39,4.53,1.2,1.74,-0.346,-0.474,80,茶色瓶,純米酒
15.3,0.974,4.41,1.45,1.07,-0.4,-0.316,71,緑色瓶,純米酒
16,1.25,3.65,1.62,1.25,-0.305,-0.505,80,緑色瓶,純米酒
14.3,4.73,3.86,1.6,1.93,-0.634,-0.377,68,緑色瓶,純米酒
16,-2.04,5.11,1.27,1.52,-0.084,-0.512,69,緑色瓶,純米酒
15.3,-5.48,4.05,1.66,2.06,-0.521,-0.462,68,緑色瓶,純米酒
16.5,6.49,4.02,1.52,1.3,-0.361,-0.496,80,茶色瓶,純米酒
15.4,4.96,4.55,2.05,1.69,-0.663,-0.438,82,その他色瓶,純米酒
15.5,-0.461,2.53,1.66,1.12,-0.505,-0.458,79,緑色瓶,純米酒
15.1,8.34,4.86,1.78,1.65,-0.645,-0.395,73,その他色瓶,純米酒
15.7,-0.5,4.23,1.68,1.81,-0.517,-0.327,88,茶色瓶,純米酒
14.8,0.495,4.84,1.64,1.74,-0.482,-0.422,82,茶色瓶,純米酒
14.1,7.61,4.36,2.08,1.53,-0.418,-0.477,79,緑色瓶,純米酒
15.7,3.65,4.21,1.57,1.81,-0.361,-0.395,83,茶色瓶,純米酒
14.5,7.77,4.09,1.59,1.47,-0.54,-0.377,77,緑色瓶,純米酒
16,6.99,4.63,1.45,1.49,-0.469,-0.378,72,茶色瓶,純米酒
15.8,3.2,4.22,1.62,1.58,-0.409,-0.463,67,茶色瓶,純米酒
14.5,4.5,4.97,1.16,1.29,-0.787,-0.337,75,茶色瓶,純米酒
15.2,8.96,5.04,1.29,2.07,-0.352,-0.347,76,緑色瓶,純米酒
15,0.533,4.42,1.49,2.11,-0.471,-0.544,74,緑色瓶,純米酒
15.9,1.36,4.71,1.68,1.51,-0.339,-0.635,76,その他色瓶,純米酒
15.7,3.42,2.63,1.44,1.58,-0.467,-0.544,70,茶色瓶,純米酒
15.3,9.83,4.91,1.81,1.33,-0.509,-0.298,81,茶色瓶,純米酒
15.5,8.03,4.28,1.18,1.38,-0.695,-0.326,68,茶色瓶,純米酒
15,8.76,4.86,1.15,1.31,-0.6,-0.32,77,茶色瓶,純米酒
15.8,1.06,3.99,1.23,1.17,-0.378,-0.329,74,緑色瓶,純米酒
15.9,11.8,5.35,1.63,1.25,-0.59,-0.327,74,緑色瓶,純米酒
15.3,3.64,4.07,1.71,1.67,-0.586,-0.482,73,緑色瓶,純米酒
15.4,3.78,5.01,1.14,1.54,-0.778,-0.438,72,茶色瓶,純米酒
14.9,9.96,4.1,1.37,1.58,-0.41,-0.459,80,茶色瓶,純米酒
15.9,3.87,4.2,1.71,1.94,-0.388,-0.379,84,茶色瓶,純米酒
14.1,9.41,4.36,1.32,1.43,-0.395,-0.348,79,茶色瓶,純米酒
16.3,4.33,5.14,1.58,1.88,-0.709,-0.446,81,緑色瓶,純米酒
15.1,7.36,4.17,1.64,1.51,-0.425,-0.461,75,緑色瓶,純米酒
15.2,0.943,4.45,1.79,0.866,-0.312,-0.432,86,緑色瓶,純米酒
14.7,4.65,5.14,1.46,1.7,-0.787,-0.572,71,緑色瓶,純米酒
15.4,4.22,3.92,1.45,1.23,-0.774,-0.554,70,緑色瓶,純米酒
15.9,1.78,3.98,1.7,1.46,-0.562,-0.47,81,緑色瓶,純米酒
14.6,11.1,3.5,1.19,1.28,-0.47,-0.457,63,その他色瓶,純米酒
15.6,4.52,4.55,1.66,1.9,-0.367,-0.399,75,緑色瓶,純米酒
15.7,8.06,3.8,0.993,1.32,-0.535,-0.456,71,緑色瓶,純米酒
15.8,8.77,5.83,1.59,2.12,-0.555,-0.353,70,緑色瓶,純米酒
15.9,2.61,5.02,1.23,1.49,-0.366,-0.51,79,緑色瓶,純米酒
17.2,-0.245,3.49,1.23,1.24,-0.536,-0.298,82,緑色瓶,純米酒
15.7,11.3,2.93,1.38,1.52,-0.242,-0.293,78,茶色瓶,純米酒
15.9,2.97,4.24,1.65,1.28,-0.535,-0.441,80,茶色瓶,純米酒
15.2,-4.08,3.58,1.22,1.46,-0.711,-0.443,74,緑色瓶,純米酒
15.6,2.56,4.72,1.36,1.31,-0.846,-0.408,79,緑色瓶,純米酒
16.9,1.18,4.39,1.26,1.29,-0.43,-0.454,73,緑色瓶,純米酒
16.9,7.54,3.85,1.72,1.68,-0.567,-0.309,77,緑色瓶,純米酒
16.1,5.99,4.84,1.67,1.43,-0.573,-0.389,74,茶色瓶,純米酒
15.7,-3.22,4.18,1.8,1.49,-0.521,-0.354,68,青色瓶,純米酒
15.5,3.8,3.41,1.43,1.63,-0.189,-0.384,71,その他色瓶,純米酒
14.8,4.62,4.55,1.55,1.59,-0.59,-0.549,80,緑色瓶,純米酒
15.6,1.45,4.19,1.34,2.14,-0.476,-0.498,84,緑色瓶,純米酒
14.5,-0.859,4.44,1.61,1.71,-0.478,-0.489,78,茶色瓶,純米酒
16,9.38,4.6,0.902,1.83,-0.56,-0.419,71,茶色瓶,純米酒
15.2,2.94,4.1,1.7,1.47,-0.429,-0.488,75,緑色瓶,純米酒
15.3,1.45,3.77,1.33,1.5,-0.016,-0.411,74,緑色瓶,純米酒
16.2,9.4,5.43,1.63,1.4,-0.433,-0.499,73,緑色瓶,純米酒
16,2.54,4.09,1.69,1.6,-0.589,-0.331,71,茶色瓶,純米酒
14.4,3.6,4.36,1.21,2.12,-0.432,-0.37,73,茶色瓶,純米酒
15.5,8.67,4.6,1.3,1.12,-0.854,-0.441,70,緑色瓶,純米酒
15.4,2.23,5.35,1.79,1.64,-0.773,-0.339,80,茶色瓶,純米酒
15.8,6.68,5.35,1.42,1,-0.635,-0.42,77,茶色瓶,純米酒
15.1,3.75,4.89,1.57,2.17,-0.099,-0.464,67,緑色瓶,純米酒
15.2,4.63,3.83,1.34,1.77,-0.72,-0.583,72,茶色瓶,純米酒
15.7,11.7,3.68,1.29,1.43,-0.372,-0.428,70,その他色瓶,純米酒
15.3,1.59,5.13,1.2,1.75,-0.643,-0.457,83,緑色瓶,純米酒
15.5,1.8,5.17,1.44,1.46,-0.337,-0.556,71,緑色瓶,純米酒
16.2,6.08,4.2,1.09,1.39,-0.789,-0.4,82,茶色瓶,純米酒
16.1,6.5,3.31,1.23,1.63,-0.512,-0.386,77,緑色瓶,純米酒
15.5,-1.96,4.42,1.57,1.38,-0.468,-0.429,74,緑色瓶,純米酒
16.4,10.9,4.86,1.6,0.917,-0.596,-0.254,77,茶色瓶,純米酒
15.4,5.64,4.46,1.74,1.14,-0.421,-0.305,69,緑色瓶,純米酒
15.2,8.68,4.34,1.37,1.51,-0.709,-0.358,78,茶色瓶,純米酒
15.6,1.76,4.44,1.21,1.32,-0.391,-0.357,79,茶色瓶,純米酒
14.6,0.997,4.31,1.89,1.14,-0.564,-0.189,71,緑色瓶,純米酒
15.8,-0.76,4.29,1.92,1.22,-0.625,-0.513,72,その他色瓶,純米酒
14.9,0.614,4.78,1.32,1.38,-0.312,-0.423,78,茶色瓶,純米酒
15.9,8.33,5.65,1.55,1.43,-0.557,-0.487,76,茶色瓶,純米酒
14.6,-2.92,5.3,1.48,1.86,-0.403,-0.419,72,茶色瓶,純米酒
15.3,6.19,4.73,1.75,1.65,-0.473,-0.38,88,緑色瓶,純米酒
14.6,1.81,5.18,1.5,1.23,-0.866,-0.482,69,茶色瓶,純米酒
15,1.04,3.81,1.38,2.08,-0.446,-0.485,74,茶色瓶,純米酒
14.8,5.73,4.3,1.39,1.06,-0.636,-0.5,81,茶色瓶,純米酒
14.6,4.88,5.46,1.94,1.62,-0.678,-0.391,81,緑色瓶,純米酒
14.6,3.47,4.57,1.27,1.15,-0.426,-0.487,75,茶色瓶,純米酒
15.4,2.5,4.09,1.37,1.41,-0.594,-0.407,80,茶色瓶,純米酒
14.6,9.68,4.56,1.46,1.81,-0.437,-0.318,69,茶色瓶,純米酒
15.5,9.81,4.23,1.78,1.55,-0.7,-0.323,77,茶色瓶,純米酒
16.4,1.08,4.96,1.48,1.9,-0.441,-0.31,67,紙パック,純米酒
15.1,5.41,3.99,1.85,1.7,-0.398,-0.336,70,緑色瓶,純米酒
14.9,3.81,5.2,1.74,1.37,-0.717,-0.371,83,緑色瓶,純米酒
13.7,0.7,3.85,1,1.19,-0.296,-0.422,78,緑色瓶,純米酒
14.6,2.8,4.85,1.41,1.83,-0.47,-0.511,78,茶色瓶,純米酒
15.9,2.8,4.88,1.29,1.87,-0.621,-0.477,72,茶色瓶,純米酒
15.9,2.35,3.71,1.65,1.55,-0.706,-0.42,79,茶色瓶,純米酒
14.6,4.1,3.69,1.49,1.84,-0.342,-0.276,69,緑色瓶,純米酒
15.8,0.82,4.38,1.53,2.01,-0.77,-0.475,71,茶色瓶,純米酒
15.3,-0.458,5.87,1.56,1.73,-0.346,-0.363,76,茶色瓶,純米酒
15.2,5.7,5.22,1.54,1.16,-0.591,-0.585,78,緑色瓶,純米酒
15.5,-0.277,5.02,1.66,1.43,-0.696,-0.395,70,その他色瓶,純米酒
14.2,7.14,4.39,0.959,1.84,-0.521,-0.428,75,茶色瓶,純米酒
15.6,4.89,4.41,1.47,2.04,-0.525,-0.464,81,緑色瓶,純米酒
15,3.75,3.83,1.49,1.79,-0.776,-0.392,73,緑色瓶,純米酒
16.3,6.36,4.4,1.7,1.63,-0.444,-0.444,76,緑色瓶,純米酒
14.6,2.13,4.91,1.51,1.92,-0.475,-0.262,84,茶色瓶,純米酒
14.1,3.76,3.22,1.47,1.31,-0.083,-0.95,63,茶色瓶,本醸造酒
15.7,2.69,5.01,1.13,1.01,-0.261,-0.884,66,緑色瓶,本醸造酒
15.3,2.94,4.52,1.56,1.61,-0.234,-0.963,72,茶色瓶,本醸造酒
15,8.64,5.07,0.992,1.15,-0.314,-0.748,69,茶色瓶,本醸造酒
15.4,3.82,3.84,1.34,1.64,-0.142,-0.786,65,茶色瓶,本醸造酒
14.9,7.85,5.37,1.08,1.54,-0.336,-0.98,64,リターナブル瓶,本醸造酒
15.8,6.07,4.62,1.22,1.23,-0.181,-0.933,64,茶色瓶,本醸造酒
15.7,7.62,4.39,0.866,1.57,-0.384,-0.768,68,茶色瓶,本醸造酒
14.8,3.49,4.03,1.52,1.34,-0.219,-0.95,65,茶色瓶,本醸造酒
15.5,3.68,4.52,1.24,1.6,-0.191,-0.854,66,茶色瓶,本醸造酒
15.8,3.49,5.03,1.34,1.53,-0.524,-0.773,66,リターナブル瓶,本醸造酒
16.2,4.05,4.45,1.55,1.67,-0.2,-0.815,67,茶色瓶,本醸造酒
15.5,2.61,4.4,1.16,0.837,-0.282,-0.856,63,その他色瓶,本醸造酒
15,2.36,4.4,1.87,1.79,-0.396,-0.773,65,緑色瓶,本醸造酒
15.9,7.13,4.61,1.62,1.88,-0.333,-0.806,67,その他色瓶,本醸造酒
15.7,6.76,3.72,1.16,1.44,-0.245,-0.931,72,緑色瓶,本醸造酒
15.2,1.99,4.69,1.68,1.08,-0.389,-0.927,62,茶色瓶,本醸造酒
15.4,3.48,4.75,1.49,1.35,-0.407,-0.838,62,緑色瓶,本醸造酒
14.9,6.89,4.99,0.896,1.7,-0.172,-0.752,64,緑色瓶,本醸造酒
14.6,4.07,4.51,1.65,1.32,-0.231,-0.785,68,茶色瓶,本醸造酒
15.3,6.3,4.63,1.35,0.836,-0.359,-0.843,65,茶色瓶,本醸造酒
15,4.25,4.45,1.49,1.33,-0.039,-0.874,66,茶色瓶,本醸造酒
14.8,3.62,4.38,1.3,1.69,-0.279,-0.725,65,緑色瓶,本醸造酒
16.3,6.82,4.61,1.29,1.64,-0.598,-0.859,65,青色瓶,本醸造酒
15.9,4.98,3.6,1.13,0.918,-0.239,-0.936,68,茶色瓶,本醸造酒
15,5.08,4.1,0.869,1.62,-0.062,-0.917,63,茶色瓶,本醸造酒
15.1,5.52,3.6,0.946,1.14,-0.393,-0.87,58,茶色瓶,本醸造酒
15.9,6.11,5.48,0.832,1.3,-0.419,-0.752,66,茶色瓶,本醸造酒
15.8,7.16,4.12,1.14,1.33,-0.436,-0.946,62,茶色瓶,本醸造酒
15.9,4.23,5.04,1.6,1.12,-0.441,-0.881,67,緑色瓶,本醸造酒
15,3.5,3.5,0.921,1.75,-0.334,-0.729,67,茶色瓶,本醸造酒
15.5,9.06,3.92,1.5,1.14,-0.218,-0.895,65,その他色瓶,本醸造酒
16.1,7.78,4.65,1.27,1.32,-0.221,-0.864,65,茶色瓶,本醸造酒
15.3,5.4,4.15,0.936,1.25,-0.422,-0.83,69,緑色瓶,本醸造酒
15.7,4.87,4.01,1.31,1.28,-0.09,-0.763,67,茶色瓶,本醸造酒
16,4.69,4.96,1.16,1.59,-0.179,-0.802,73,茶色瓶,本醸造酒
16.4,6.85,4.63,0.918,0.96,0.093,-0.839,61,その他色瓶,本醸造酒
15.1,3.77,4.29,1.79,1.76,-0.665,-0.897,61,茶色瓶,本醸造酒
15.8,7.12,3.83,1.45,1.23,-0.47,-0.885,62,青色瓶,本醸造酒
16.3,2.3,4.68,1.42,1.06,-0.289,-0.891,65,緑色瓶,本醸造酒
15.7,4.96,4.35,1.07,1.91,-0.134,-0.9,69,茶色瓶,本醸造酒
16.2,2.45,3.97,1.71,1.51,-0.369,-0.786,64,その他色瓶,本醸造酒
15.2,6.04,4.4,1.22,1.16,-0.287,-0.873,63,茶色瓶,本醸造酒
